timestamp,pnl,cumulative_pnl
182,259,259
185,-155,104
218,-257,-153
247,179,26
253,-183,-157
263,-131,-288
275,-28,-316
277,-98,-414
289,36,-378
291,138,-240
348,254,14
390,-211,-197
412,57,-140
475,-13,-153
477,-17,-170
488,-39,-209
492,2,-207
494,-228,-435
497,-9,-444
502,19,-425
512,-146,-571
515,67,-504
517,152,-352
527,-44,-396
530,-116,-512
533,-17,-529
551,-28,-557
570,-105,-662
572,-27,-689
599,196,-493
601,206,-287
613,202,-85
632,-334,-419
683,-124,-543
700,21,-522
708,204,-318
711,243,-75
719,72,-3
724,37,34
759,8,42
762,171,213
764,-89,124
766,334,458
770,13,471
783,-51,420
812,-213,207
902,103,310
905,120,430
926,-73,357
960,-41,316
971,64,380
975,-6,374
977,127,501
1026,-302,199
1030,282,481
1060,-223,258
1065,129,387
1091,192,579
1094,235,814
1104,135,949
1136,-164,785
1139,-168,617
1170,148,765
1201,-172,593
1210,236,829
1239,114,943
1256,-257,686
1262,-111,575
1281,-146,429
1288,-283,146
1293,-139,7
1297,222,229
1303,-38,191
1312,-268,-77
1317,271,194
1332,-130,64
1334,77,141
1338,339,480
1342,86,566
1351,-50,516
1356,-23,493
1372,23,516
1382,-157,359
1392,18,377
1397,149,526
1401,252,778
1418,93,871
1420,247,1118
1448,124,1242
1492,181,1423
1496,-73,1350
1500,100,1450
1503,54,1504
1505,156,1660
1512,155,1815
1523,-200,1615
1564,-158,1457
1588,-60,1397
1610,-343,1054
1693,-19,1035
1697,196,1231
1736,-13,1218
1741,-53,1165
1749,58,1223
1751,-164,1059
1756,197,1256
1784,-281,975
1809,8,983
1827,-258,725
1853,-78,647
1859,92,739
1884,-262,477
1911,-82,395
1926,22,417
1928,-13,404
1962,28,432
1968,-92,340
1975,-246,94
1983,54,148
1988,-14,134
